Index	Date	Time	Temp	pH	SpCond	TDS	DO	E. coli
8	14Feb00	104455	0.05	7.68	1177	0.7534	13.5	170
9	21Feb00	120811	2.38	7.83	1351	0.865	12.53	10
10	01Mar00	105201	9.8	8.03	1178	0.7542	10.94	50
11	06Mar00	104828	8.39	7.87	1394	0.8924	11.5	20
12	08Mar00	104024	13.05	7.86	1401	0.8965	9.45	20
13	13Mar00	104355	4.42	7.88	3587	2.285	13.06	180
14	20Mar00	###	###	###	0	0	###	1200
15	27Mar00	103839	11.51	7.88	1384	0.8855	9.66	220
16	03Apr00	113909	13.8	7.96	1262	0.8077	8.67	110
17	05Apr00	123822	9.24	7.99	1385	0.8862	11.19	60
18	10Apr00	103349	9.29	8.09	896.7	0.5739	10	180
19	17Apr00	110053	13.73	7.8	864	0.553	8.81	8000
20	21Apr00	110324	12.63	7.88	857.4	0.5487	9.09	2600
21	01May00	112903	16.29	7.85	925.9	0.5925	8.01	4500
22	08May00	101323	21.21	7.91	1052	0.6734	7.66	630
23	15May00	101825	15.12	7.43	813.2	0.5205	7.65	510
24	22May00	113424	16.52	7.67	833.7	0.5336	9.34	150
25	30May00	122454	19.3	7.87	892	0.571	8.71	190
26	05Jun00	111033	18.83	7.27	999.3	0.6395	6.58	8000
27	12Jun00	112839	24.46	7.47	1239	0.7932	8.74	900
28	19Jun00	93633	18.51	7.58	604	0.3866	9.86	1200
29	26Jun00	105151	23.66	7.41	753.4	0.4822	6.11	630
30	28Jun00	102446	20.1	7.84	914	0.585	8.36	1000
31	10Jul00	113354	24.75	7.94	1121	0.7171	7.02	1600
32	17Jul00	113049	22.95	7.88	593.7	0.3799	7.67	550
33	24Jul00	104951	20.16	7.82	1361	0.8708	5.99	550
34	26Jul00	105025	21.84	7.89	1357	0.8687	7.25	2900
35	31Jul00	110547	22.18	7.62	547.5	0.3504	6.94	2900
36	02Aug00	95936	22.2	7.72	594.9	0.3807	6.52	8000
37	07Aug00	114324	22.89	7.83	356.8	0.2283	7.69	5500
38	14Aug00	113918	21.96	7.65	1140	0.73	6.64	400
39	21Aug00	111255	18.93	7.53	867	0.555	7.87	7800
40	28Aug00	114300	23.72	7.95	911	0.583	10.57	450
41	06Sep00	104335	17.14	7.65	567	0.363	7.82	30440
42	11Sep00	111233	22.52	7.74	430	0.275	7.52	6090
43	13Sep00	110451	18.67	7.9	706	0.452	8.38	860
44	18Sep00	112704	###	###	0	0	###	1040
45	25Sep00	102429	14.38	7.71	477	0.308	7.29	4570
46	02Oct00	104731	17.12	7.87	993.2	0.6356	7.59	630
47	08Oct00	114314	8.5	8.11	915.8	0.5861	9.72	410
48	16Oct00	114617	15.66	7.8	935.5	0.5987	7.08	630
49	23Oct00	110221	16.33	7.71	1065	0.6814	6.36	310
50	30Oct00	103542	9.66	7.66	1125	0.7201	8.71	200
51	01Nov00	102032	12.5	7.72	1112	0.711	4.72	5830
52	06Nov00	104217	8.57	7.61	1190	0.7615	8.52	100
53	13Nov00	105427	9.56	7.67	641.7	0.4107	11.12	1340
54	20Nov00	93818	1.6	7.77	1027	0.6571	15.86	1810
55	27Nov00	104027	4.41	7.69	645.4	0.413	10.74	740
56	04Dec00	105916	0.12	7.64	1036	0.6629	16.46	100
57	06Dec00	100432	0	7.52	1204	0.7707	14.29	100
58	11Dec00	102322	1.52	7.53	911.6	0.5834	11.56	27550
59	18Dec00	105051	-0.12	7.67	1108	0.7089	18.97	2590
60	26Dec00	103300	###	###	0	0	###	###
61	02Jan01	###	###	###	0	0	###	###
62	11Jan01	###	###	###	0	0	###	###
63	16Jan01	105839	0.56	###	1840	1.177	12.84	410
64	22Jan01	102257	-0.17	###	1415	0.9059	16.74	410
65	29Jan01	110330	0.44	6.92	1468	0.939	12.15	100
66	05Feb01	104113	1.75	7.94	1260	0.806	12.52	200
67	07Feb01	113636	1.37	8.09	1343	0.859	15.1	100
68	12Feb01	100835	1.28	8.05	474	0.304	15.14	520
69	20Feb01	101558	5.08	8.04	1204	0.771	18.18	100
70	26Feb01	95950	4.03	8.01	921	0.589	12.13	1690
71	05Mar01	103016	2.8	7.77	1242	0.795	13.08	310
72	07Mar01	100110	0.44	7.9	880	0.563	17.4	860
73	12Mar01	110541	5.92	8.05	1219	0.78	13.85	200
74	20Mar01	95346	5.43	7.86	1085	0.6947	11.51	100
75	26Mar01	111400	1.7	7.87	883.3	0.5653	16.47	100
76	02Apr01	101317	7.25	7.73	1052	0.6734	10.24	100
77	09Apr01	101259	19.59	7.7	1232	0.7886	4.15	100
78	17Apr01	100121	7.18	7.77	889.7	0.5694	10.28	310
79	23Apr01	105839	19.41	7.88	1135	0.7261	9.22	100
80	30Apr01	101633	15.7	7.8	1182	0.7563	8.29	100
81	07May01	95315	20.07	7.64	1263	0.8085	4.18	1350
82	09May01	110247	17.53	7.87	623	0.399	9.69	970
83	14May01	102344	16.12	7.73	1176	0.7527	5.48	740
84	21May01	110244	20.55	7.56	840	0.5376	6.25	3450
85	29May01	103539	16.5	7.94	887	0.567	6.89	740
86	04Jun01	102456	14.47	7.84	598.7	0.3832	8.52	241920
87	06Jun01	103411	17.92	7.6	282.6	0.1809	8.42	81640
88	11Jun01	112535	21.61	7.78	1066	0.6823	8.04	100
89	18Jun01	100800	22.14	7.82	864.5	0.5533	6.8	1220
90	25Jun01	101728	20.71	7.86	852.6	0.5457	6.32	2010
91	02Jul01	112750	19.01	7.93	626	0.4	6.47	36540
92	09Jul01	102439	22.66	7.9	474	0.303	6.59	13540
93	16Jul01	103631	21.96	7.95	1109	0.7098	7.05	1350
94	23Jul01	102525	25.38	7.66	556.8	0.3564	5.81	2160
95	30Jul01	115810	24.55	7.85	860.4	0.5507	8.3	1610
96	06Aug01	101332	24.19	7.87	1197	0.7663	7.13	630
97	13Aug01	112026	23.49	7.79	1247	0.7982	9.45	840
98	15Aug01	102558	20.94	7.89	1171	0.7495	6.89	310
99	20Aug01	94802	19.45	7.72	783.5	0.5014	5.93	1710
