Index	Date	Time	Temp	pH	SpCond	TDS	DO	E. coli
1	04Dec97	95755	4.48	7.7	711	0.455	11.09	200
2	08Dec97	104135	1.09	7.79	869	0.556	12.48	20
3	18Dec97	92756	0.71	7.94	1021	0.654	12.87	70
4	22Dec97	95044	3.19	7.69	804	0.515	10.44	5100
5	29Dec97	110932	0.33	7.82	857	0.549	14.51	40
6	07Jan98	95331	11.18	7.82	618	0.396	8.38	2000
7	14Jan98	95028	-0.02	7.73	1007	0.644	13.58	40
8	21Jan98	93618	0.46	7.85	1199	0.767	13.38	20
9	27Jan98	094859	3.81	7.87	909	0.582	11.58	40
10	29Jan98	94620	3.92	7.58	1074	0.687	13.7	30
11	02Feb98	93337	4.53	7.84	1097	0.702	15.11	10
12	04Feb98	101352	0.91	7.92	1096	0.702	13.05	20
13	10Feb98	100302	3.04	7.79	1134	0.726	12.81	10
14	18Feb98	94352	7.08	7.85	510	0.326	9.53	1500
15	24Feb98	92728	5.21	7.84	754	0.483	10.7	620
16	05Mar98	100119	1.73	7.55	1033	0.661	12.36	340
17	11Mar98	94647	0.11	8.33	1059	0.678	13.06	290
18	12Mar98	103226	0.11	7.61	1120	0.717	13.23	40
19	18Mar98	100940	8.49	7.76	491	0.314	10.53	24000
20	26Mar98	93912	10.82	8.05	957	0.613	10.54	40
21	08Apr98	93343	12.59	7.95	808	0.517	10.11	750
22	15Apr98	84007	12.51	7.94	747	0.478	10.26	100
23	22Apr98	95806	10.83	7.62	720	0.46	11.76	300
24	27Apr98	85609	9.83	7.85	832	0.532	11.09	20
25	30Apr98	92204	14.09	7.25	243	0.156	8.99	39000
26	04May98	103740	13.9	7.78	575	0.368	9.97	600
27	11May98	102939	16.45	7.91	782	0.5	8.74	390
28	18May98	105755	19.01	7.9	1018	0.652	8.82	650
29	20May98	103032	21.36	7.72	718	0.46	8.04	4600
30	28May98	102427	19.61	7.87	914	0.585	8.79	3000
31	01Jun98	113151	20.88	7.91	444	0.284	7.44	1300
32	08Jun98	92300	###	###	###	0	###	500
33	15Jun98	105323	18.7	7.43	309	0.198	6.3	62000
34	22Jun98	104544	22.26	7.47	795	0.509	5.54	700
35	29Jun98	104959	23.03	7.7	947	0.606	9.53	900
36	06Jul98	102314	21.98	7.74	713	0.456	7.59	600
37	13Jul98	111005	21.06	7.78	937	0.599	10.24	700
38	15Jul98	105138	21.96	7.83	923	0.591	6.18	1800
39	20Jul98	105746	23.58	7.41	2200	1.41	7.92	28000
40	27Jul98	103425	20.46	7.75	828	0.53	8.68	300
41	03Aug98	###	###	###	0	0	###	400
42	10Aug98	105137	23.34	###	650	0.416	8.74	900
43	17Aug98	110350	22.06	7.67	930	0.599	10.4	400
44	24Aug98	113101	23.37	###	982	0.629	7.24	300
45	31Aug98	105117	20.15	###	1013	0.649	7.25	400
46	02Sep98	110349	19.23	###	867	0.556	10.16	700
47	09Sep98	104732	16.12	###	894	0.572	8.55	200
48	14Sep98	102806	20.32	###	1146	0.734	8.97	100
49	21Sep98	104904	21.56	###	889	0.028	7.21	7800
50	28Sep98	102452	19.15	###	1087	0.695	11.22	1000
51	07Oct98	105957	15.67	###	150	0.096	8.36	12000
52	12Oct98	102818	12.6	###	741	0.474	9.14	100
53	19Oct98	110609	12.68	8.04	336	0.215	8.75	4800
54	22Oct98	101309	8.31	7.92	711	0.455	9.65	50
55	26Oct98	110850	10.33	8.02	820	0.525	10.32	50
56	02Nov98	110456	11.63	7.85	759	0.486	8.25	300
57	09Nov98	110037	8.03	7.99	775	0.496	9.94	50
58	16Nov98	103645	6.88	7.96	780	###	11.06	100
59	23Nov98	110603	8.13	7.69	802	0.513	10.63	100
60	30Nov98	95748	11.79	7.75	690	0.442	9.08	100
61	02Dec98	105744	7.01	7.95	618	0.395	10.15	200
62	07Dec98	111225	11.75	7.47	438	0.281	7.16	2000
63	14Dec98	105735	2.77	8.04	819	0.5241	13.09	50
64	21Dec98	103542	7.62	8.02	760.8	0.4869	13.16	200
65	28Dec98	104350	0.86	8.23	849.1	0.5434	13.22	50
66	01Feb99	101845	4.94	7.86	863.9	0.5529	10.52	2000
67	08Feb99	104542	5.02	8.13	712.7	0.4562	10.91	600
68	15Feb99	111431	3.43	8.09	997.8	0.6386	13.51	200
69	22Feb99	112359	0.67	7.9	1022	0.6542	18.97	50
70	24Feb99	110024	1.59	8.13	1005	0.6427	12.41	50
71	01Mar99	110112	4.31	8.08	837	0.5357	12.54	100
72	08Mar99	103755	0.77	7.97	952.8	0.6098	16.88	50
73	15Mar99	104112	1.8	8.13	1285	0.8224	16.03	50
74	22Mar99	105728	5.58	8.28	1065	0.6814	15.55	5
75	29Mar99	100219	8.61	8.06	1060	0.6787	12.71	5
76	05Apr99	104326	12.1	8.02	1090	0.6978	11.24	10
77	12Apr99	110017	11.25	8.03	932	0.5965	13.24	60
78	14Apr99	95141	12.32	7.46	983	0.559	10.8	50
79	19Apr99	112213	11.83	8.34	871	0.5575	13.21	5
80	26Apr99	101859	13.32	8.21	691	0.4427	7.1	40
81	03May99	101344	15.71	7.99	1032	0.6606	10.93	100
82	10May99	101226	16.54	7.99	923	0.5904	10.26	250
83	12May99	95235	19.63	7.81	839	0.537	8.77	110
84	17May99	103735	21.1	8	925.8	0.5925	8.63	200
85	24May99	104739	15.04	7.87	606.4	0.3881	8.94	50
86	07Jun99	103605	22.91	8.01	910.4	0.5826	7.23	300
87	14Jun99	110642	22.27	8.03	###	###	8.43	510
88	16Jun99	101045	16.37	7.36	1003	0.642	10.39	1200
89	21Jun99	111541	20.99	8.23	993.5	0.6359	10.87	380
90	28Jun99	104354	24.12	8	605.5	0.3875	8.28	520
91	12Jul99	104526	19.14	7.91	1000	0.64	9.08	480
92	14Jul99	102003	20.34	8.02	919.8	0.4575	9.74	500
93	19Jul99	113318	24.45	7.92	527	0.3372	7.43	460
94	26Jul99	110103	26.4	7.92	531.6	0.3402	4.02	610
95	28Jul99	102428	24.92	7.98	1.1	0.0007	6.69	540
96	02Aug99	111924	22.7	8.05	778.7	0.4984	8.12	200
97	09Aug99	105957	19.86	7.91	941.1	0.6023	7.77	900
98	16Aug99	112926	20.28	7.84	593.4	###	8.1	210
99	23Aug99	100831	20.05	7.99	907.1	0.5806	8.23	150
100	30Aug99	121035	18.04	8.02	1042	0.0584	8.48	260
101	08Sep99	102620	18.34	7.86	1286	0.8231	7.5	150
102	13Sep99	111211	19.02	7.91	1317	0.8427	8.6	1400
103	20Sep99	101550	17.35	7.83	942.3	0.6031	7.02	450
104	22Sep99	101825	11.7	7.91	1371	0.8777	7.67	200
105	27Sep99	105002	17.57	7.85	1329	0.8506	6.44	390
106	04Oct99	113540	12.4	7.71	688.1	0.4404	7.44	4900
107	06Oct99	111146	11.08	7.6	720.2	0.4609	8.98	70
108	11Oct99	105816	14.81	7.68	481.7	0.3083	7.85	100
109	18Oct99	113851	10.07	7.59	503.9	0.3234	8.08	8000
110	25Oct99	113901	7.1	7.68	###	###	9.37	60
111	01Nov99	104156	13.41	7.5	1024	0.6552	5.1	50
112	08Nov99	101807	8.28	7.53	1149	0.7352	6.52	30
113	15Nov99	111534	7.46	7.67	1274	0.815	6.39	670
114	22Nov99	104059	10.18	7.53	768.4	0.4918	8.2	160
115	29Nov99	103452	3.17	7.49	649.2	0.4155	11.3	80
116	06Dec99	113153	6.53	7.66	290.7	0.1861	11.13	1300
117	08Dec99	104034	2.16	7.86	519	0.332	12.13	290
118	13Dec99	115709	###	###	0	0	###	200
119	20Dec99	122816	4.2	8.07	773.9	0.496	10.48	630
120	27Dec99	102422	0.03	7.92	1044	0.6683	13.14	10
121	03Jan00	114239	4.56	8.01	965.7	0.618	11.18	100
122	10Jan00	121156	6.12	8.03	893.7	0.572	10.69	10000
123	18Jan00	104709	0.76	7.78	1108	0.7089	13.05	50
124	24Jan00	111544	-0.17	7.89	1914	0.6357	12.5	10
125	26Jan00	###	###	###	0	0	###	###
126	31Jan00	###	###	###	0	0	###	###
127	07Feb00	100452	0.14	7.59	3161	2.023	13.74	50
128	14Feb00	101026	-0.1	7.59	1177	0.753	13.75	210
129	21Feb00	113737	2.3	7.84	1313	0.8399	13.29	10
130	01Mar00	102338	9.66	8.24	1108	0.7094	12.99	60
131	06Mar00	101548	6.98	8.04	1250	0.8	13.06	20
132	08Mar00	100736	11.59	8.01	1302	0.8335	11.42	40
133	13Mar00	101142	4.16	7.87	4037	2.583	13.11	180
134	20Mar00	112753	8.79	7.7	526	0.337	10.84	560
135	27Mar00	100743	10.46	8.01	1247	0.7979	10.8	680
136	03Apr00	111025	13.44	8.14	1105	0.707	10.66	200
137	05Apr00	115944	9.99	8.16	1267	0.8108	12.89	20
138	10Apr00	100252	8.71	8.17	848.7	0.5432	10.82	250
139	17Apr00	102847	13.64	7.83	767	0.491	9.26	5000
140	21Apr00	103125	12.35	8.06	814.3	0.5211	11.27	300
141	01May00	105643	15.18	8.01	849.4	0.5436	9.93	200
142	08May00	93821	20	7.98	935.5	0.5987	9.31	410
143	15May00	94623	14.22	7.56	733.6	0.4695	9.67	260
144	22May00	110301	16.3	7.91	806	0.5158	11.38	170
145	30May00	115238	19.04	7.99	855	0.547	10.21	170
146	05Jun00	103550	17.75	7.44	840.3	0.5378	9.02	8000
147	12Jun00	104536	22.19	7.49	1078	0.6902	10.75	700
148	19Jun00	90536	18.42	7.62	558.8	0.3576	9.85	1100
149	26Jun00	101948	22.56	7.47	707.3	0.4523	6.33	240
150	28Jun00	95218	18.87	7.88	771	0.493	9.11	300
151	10Jul00	110252	23.01	8.05	1006	0.6439	8.67	510
152	17Jul00	105512	20.52	7.84	575.3	0.3682	8.61	370
153	24Jul00	102043	18.78	8.01	1178	0.7539	9.65	620
154	26Jul00	102243	19.95	8	944	0.6042	9.42	1400
155	31Jul00	101443	21.62	7.71	473.5	0.303	7.63	5200
156	02Aug00	92517	21.49	7.78	600	0.384	7.35	2800
157	07Aug00	111050	22.52	7.85	228.8	0.1464	7.63	7000
158	14Aug00	111038	21.03	8.04	961	0.615	12.06	100
159	21Aug00	104224	17.72	7.61	786	0.503	9.33	390
160	28Aug00	110611	21.16	7.84	750	0.48	8.49	190
161	06Sep00	100604	16.34	7.78	496	0.318	10	1300
